n,iters
400,3144
400,3118
400,3190
400,3235
400,3179
400,3120
400,3143
400,3208
400,3075
400,3087
400,3108
400,3143
400,3078
400,3110
400,3179
400,3196
400,3157
400,3111
400,3103
400,3154
400,3185
400,3098
400,3129
400,3180
400,3182
400,3173
400,3181
400,3176
400,3172
400,3153
400,3250
400,3071
400,3118
400,3115
400,3084
400,3146
400,3100
400,3125
400,3135
400,3120
400,3180
400,3165
400,3095
400,3139
400,3168
400,3267
400,3037
400,3115
400,3083
400,3172
400,3136
400,3169
400,3133
400,3110
400,3208
400,3171
400,3063
400,3110
400,3125
400,3149
400,3128
400,3195
400,3081
400,3096
400,3162
400,3164
400,3156
400,3076
400,3156
400,3103
400,3142
400,3182
400,3108
400,3207
400,3190
400,3185
400,3053
400,3170
400,3145
400,3113
400,3188
400,3125
400,3148
400,3119
400,3231
400,3107
400,3085
400,3139
400,3094
400,3197
400,3190
400,3132
400,3139
400,3179
400,3162
400,3044
400,3088
400,3096
400,3129
400,3160
400,3132
400,3156
400,3178
400,3108
400,3110
400,3165
400,3073
400,3179
400,3137
400,3171
400,3085
400,3126
400,3107
400,3192
400,3150
400,3160
400,3190
400,3134
400,3182
400,3113
400,3146
400,3136
400,3145
400,3204
400,3141
400,3099
400,3087
400,3141
400,3199
400,3192
400,3145
400,3058
400,3150
400,3119
400,3184
400,3153
400,3202
400,3111
400,3123
400,3161
400,3198
400,3111
400,3140
400,3121
400,3174
400,3162
400,3170
400,3134
400,3128
400,3147
400,3154
400,3184
400,3107
400,3181
400,3133
400,3134
400,3178
400,3219
400,3123
400,3000
400,3146
400,3097
400,3114
400,3123
400,3120
400,3217
400,3165
400,3076
500,3920
500,3880
500,3911
500,3941
500,4022
500,3917
500,3972
500,3816
500,3898
500,3880
500,4006
500,3847
500,3932
500,3896
500,3891
500,3891
500,3834
500,3907
500,3901
500,3906
500,3822
500,3858
500,3846
500,3899
500,3915
500,3858
500,3886
500,3847
500,3899
500,3960
500,3848
500,3876
500,3872
500,3853
500,3986
500,3864
500,3939
500,3953
500,3897
500,3976
500,3951
500,3864
500,3825
500,3858
500,3919
500,3897
500,3925
500,3941
500,3913
500,3828
500,3924
500,3890
500,3869
500,3815
500,4045
500,3924
500,3964
500,3904
500,3863
500,4011
500,3866
500,3971
500,3859
500,3891
500,3924
500,3879
500,3942
500,3908
500,3927
500,3895
500,3849
500,3885
500,3796
500,3856
500,3991
500,3854
500,3876
500,3958
500,3871
500,3836
500,3934
500,3926
500,3913
500,3983
500,3963
500,3966
500,3853
500,3948
500,3935
500,3880
500,3968
500,3908
500,3822
500,3932
500,3863
500,3924
500,3849
500,3905
500,3855
500,3920
500,3915
500,3859
500,3937
500,3852
500,3864
500,3884
500,3929
500,4058
500,3862
500,3779
500,3947
500,3920
500,3947
500,3841
500,3827
500,3919
500,3875
500,3829
500,3887
500,3895
500,3993
500,3903
500,3949
500,3856
500,3869
500,3948
500,3859
500,3863
500,3943
500,3927
500,3886
500,3828
500,3877
500,3847
500,3864
500,3898
500,3875
500,3889
500,3946
500,3838
500,3869
500,3936
500,3963
500,3939
500,3853
500,3967
500,3882
500,3898
500,3869
500,3940
500,3940
500,3854
500,3901
500,3810
500,3924
500,3931
500,3862
500,3918
500,3945
500,3902
500,3931
500,3919
500,3941
500,3929
500,3880
500,3834
500,3923
500,3891
500,3913
500,3845
500,3977
500,3896
500,3853
500,3934
500,3925
500,3781
500,3842
500,3880
500,3877
500,3927
500,3887
500,3919
500,3886
500,3933
500,3933
500,3832
500,3922
500,3867
500,3933
500,3812
500,3840
500,3938
500,3937
500,3897
500,3977
500,4013
500,3901
500,3880
500,3762
500,3921
500,3940
500,3929
500,3914
500,3954
500,3968
500,4002
500,3865
500,3862
500,3919
500,3954
500,3909
500,3869
500,3886
500,3907
500,3919
500,3872
500,3873
500,3939
500,3986
500,3858
500,3854
500,3901
500,3900
500,3934
500,3935
500,3905
500,4015
500,3917
500,3903
500,3908
500,3898
500,3902
500,3857
500,3957
500,3873
500,3964
500,3933
500,3915
500,3856
500,3836
500,3910
500,3850
500,3901
500,3885
500,3853
500,3960
500,3832
500,3893
500,3888
500,3924
500,3957
500,3863
500,3890
500,3859
500,3948
500,3933
500,3823
500,3833
500,3913
500,3835
500,3882
500,3876
500,3834
500,3863
500,3890
500,3866
500,3920
500,3852
500,3950
500,4005
500,3864
500,3852
500,3962
500,3886
500,3905
500,3829
500,3964
500,3827
500,3955
500,3938
500,3939
500,3979
500,3967
500,3849
500,3827
500,3962
500,3918
500,3875
500,3928
500,3824
500,3796
500,3866
500,3895
500,3952
500,3929
500,3978
500,3856
500,3925
500,3902
500,3881
500,3895
500,3852
500,3919
500,3871
500,3877
500,3876
500,3874
500,3794
500,4014
500,3975
500,3921
500,3862
500,3987
500,3888
500,3875
500,3938
500,3899
500,3805
500,3835
500,3865
500,3927
500,3863
500,3968
500,3935
500,3855
500,3900
500,3944
500,3876
500,3951
500,3850
500,3802
500,3915
500,3828
500,3918
500,3945
500,3988
500,3825
500,3889
500,3863
500,3929
500,3979
500,3870
500,3842
500,3810
500,3879
500,3876
500,3856
500,3899
500,3859
500,3832
500,3876
500,3924
500,3883
