n,iters
600,6488
600,6530
600,6429
600,6432
600,6506
600,6514
600,6381
600,6453
600,6430
600,6455
600,6442
600,6381
600,6388
600,6493
600,6390
600,6582
600,6361
600,6417
600,6447
600,6530
600,6594
600,6411
600,6527
600,6431
600,6424
600,6429
600,6456
600,6386
600,6532
600,6458
600,6516
600,6508
600,6508
600,6369
600,6433
600,6494
600,6375
600,6492
600,6400
600,6455
600,6504
600,6450
600,6532
600,6668
600,6542
600,6585
600,6503
600,6601
600,6458
600,6418
600,6442
600,6499
600,6472
600,6552
600,6434
600,6568
600,6395
600,6423
600,6563
600,6526
600,6617
600,6350
600,6401
600,6529
600,6512
600,6528
600,6553
600,6600
600,6447
600,6477
600,6281
600,6369
600,6519
600,6493
600,6530
600,6550
600,6473
600,6354
600,6597
600,6450
600,6420
600,6438
600,6609
600,6403
600,6604
600,6489
600,6409
600,6527
600,6529
600,6462
600,6322
600,6545
600,6466
600,6392
600,6460
600,6469
600,6460
600,6426
600,6430
600,6493
600,6334
600,6505
600,6415
600,6473
600,6536
600,6562
600,6418
600,6540
600,6408
600,6420
600,6395
600,6633
600,6574
600,6521
600,6653
600,6403
600,6497
600,6373
600,6438
600,6303
600,6408
600,6421
600,6504
600,6492
600,6489
600,6452
600,6468
600,6591
600,6542
600,6402
600,6419
600,6474
600,6351
600,6431
600,6479
600,6478
600,6492
600,6452
600,6463
600,6524
600,6548
600,6449
600,6507
600,6370
600,6565
600,6497
600,6322
600,6397
600,6455
600,6574
600,6572
600,6483
600,6489
600,6528
600,6466
600,6437
600,6505
600,6460
600,6503
600,6522
600,6545
600,6493
600,6483
600,6544
600,6601
600,6454
600,6389
600,6573
600,6592
600,6620
600,6469
600,6516
600,6411
600,6442
600,6596
600,6660
600,6509
600,6563
600,6638
600,6435
600,6546
600,6439
600,6534
600,6602
600,6396
600,6414
600,6436
600,6502
600,6610
600,6584
600,6518
600,6440
600,6409
600,6416
600,6555
600,6394
600,6420
600,6530
600,6465
600,6408
600,6530
600,6467
600,6542
600,6520
600,6502
600,6513
600,6543
600,6425
600,6493
600,6470
600,6619
600,6542
600,6362
600,6435
600,6615
600,6443
600,6313
600,6524
600,6646
600,6351
600,6443
600,6425
600,6305
600,6403
600,6358
600,6465
600,6387
600,6690
600,6510
600,6491
600,6401
600,6343
600,6495
600,6516
600,6392
600,6415
600,6462
600,6533
600,6483
600,6540
600,6493
600,6525
600,6446
600,6497
600,6531
600,6426
600,6523
600,6347
600,6455
600,6417
600,6360
600,6415
600,6523
600,6411
600,6447
600,6494
600,6562
600,6517
600,6533
600,6509
600,6575
600,6494
600,6580
600,6416
600,6490
600,6489
600,6387
600,6517
600,6587
600,6581
600,6440
600,6535
600,6608
600,6400
600,6598
600,6500
600,6377
600,6461
600,6489
600,6328
600,6541
